,Title,Event_Date,Latitude,Longitude,ZIP
92,Park Kids - Spring at Owens,2025-04-15 14:00:00,41.7351601,-87.5738402,60617.0
93,Aquatic Exercise II - Low Impact at Mann,2025-04-15 10:00:00,41.659128,-87.5490374,60633.0
94,Running Group at Avondale,2025-04-15 09:45:00,41.9412821,-87.7152465,60618.0
95,Printmaking at Columbus,2025-04-15 14:00:00,41.8737893,-87.7649613,60644.0
96,Cooking Club at Cooper,2025-04-15 10:30:00,41.6892536,-87.6556673,60643.0
97,Creative Drama at Tuley,2025-04-15 17:30:00,41.7301281,-87.6112026,60619.0
98,Tennis Camp at McFetridge,2025-04-15 13:00:00,41.9517076,-87.6970874,60618.0
99,Ice Skating - Gamma at McFetridge,2025-04-15 17:15:00,41.9517076,-87.6970874,60618.0
100,Dance - Ballet - Tot 1 (ASMG) at Gately,2025-04-15 13:00:00,41.70851588,-87.60317802,60628.0
101,Ice Skating - Freestyle Ice (Studio Rink) at McFetridge,2025-04-15 07:00:00,41.9517076,-87.6970874,60618.0
102,Fun and Games at Jesse White,2025-04-15 13:30:00,41.8969783,-87.6392599,60654.0
103,Kickball at Mt. Greenwood,2025-04-15 15:30:00,41.6910646,-87.7137371,60655.0
104,Jr Frogs ADM/Intro to Hockey at Morgan Park SC,2025-04-15 09:20:00,41.6836435,-87.6804633,60647.0
105,Pickleball at Smith,2025-04-15 14:00:00,41.891024,-87.690467,60612.0
106,Ice Skating - Freestyle Ice (Studio Rink) at McFetridge,2025-04-15 07:00:00,41.9517076,-87.6970874,60618.0
107,Dance at Berger,2025-04-15 16:30:00,42.0019867,-87.6887714,60660.0
108,Park Kids - Fall Winter Spring at Skinner,2025-04-15 15:45:00,41.878693,-87.660696,60606.0
109,Dance - Tap at Sheil,2025-04-15 13:15:00,41.9456861,-87.663664,60657.0
110,Pickleball at Seward,2025-04-15 12:00:00,41.9028389,-87.6374186,60610.0
111,Basketball Skills at Wrightwood,2025-04-15 13:15:00,41.928224,-87.6667052,60614.0
112,Pickleball - Open at McFetridge,2025-04-15 14:00:00,41.9517076,-87.6970874,60618.0
113,Twinkle Stars Gymnastics at Peterson Gymnastics,2025-04-15 12:30:00,41.9861619,-87.7267919,60611.0
114,Bitty Basketball at Union,2025-04-15 10:15:00,41.8851181,-87.6660855,60607.0
115,Pickleball at Riis,2025-04-15 09:30:00,41.92461603,-87.77910948,60639.0
116,Chicago's First Responder Yoga at Norwood,2025-04-15 18:30:00,41.9865856,-87.7934711,60631.0
117,Boys Shooting Stars Gymnastics at Morgan Park SC,2025-04-15 16:00:00,41.6836435,-87.6804633,60647.0
118,Basketball - Open at Pottawattomie,2025-04-15 15:45:00,42.0151063,-87.6780744,60626.0
119,Tennis Lessons: Level 2 at McFetridge,2025-04-15 12:00:00,41.9517076,-87.6970874,60618.0
120,Earth Day Park Clean Up at Buffalo,2025-04-15 09:00:00,41.9632508,-87.698327,60625.0
121,Jukebox Tennis at McFetridge,2025-04-15 14:00:00,41.9517076,-87.6970874,60618.0
122,Boys Rising Stars Gymnastics at Morgan Park SC,2025-04-15 16:00:00,41.6836435,-87.6804633,60647.0
123,Circuit Training at West Lawn,2025-04-15 12:00:00,41.77446026,-87.72885025,60629.0
124,Girls Volleyball at Hiawatha,2025-04-15 11:00:00,41.9438018,-87.8261207,60634.0
125,Girls Basketball Skills at Warren,2025-04-15 17:15:00,42.0021787,-87.6890062,60645.0
126,"Moms, Pops & Tots Music at Sheil",2025-04-15 10:45:00,41.9456861,-87.663664,60657.0
127,Dance - Tap Partnership at Loyola,2025-04-15 17:00:00,42.0108499,-87.6616126,60626.0
128,Basketball at Tuley,2025-04-15 17:30:00,41.7301281,-87.6112026,60619.0
129,Track & Field (ASMG) - Open at Gately,2025-04-15 18:00:00,41.70851588,-87.60317802,60628.0
130,Ice Skating - Beta at McFetridge,2025-04-15 17:15:00,41.9517076,-87.6970874,60618.0
131,Volleyball - Open at Addams,2025-04-15 21:15:00,41.8623915,-87.6615673,60608.0
132,Earth Day Park Clean Up at Burnham,2025-04-15 09:00:00,41.7952713,-87.5773205,60615.0
133,Graffiti Art at Riis,2025-04-15 18:00:00,41.92461603,-87.77910948,60639.0
134,Tot Spot at Welles,2025-04-15 11:00:00,41.9628085,-87.6863871,60625.0
135,Volleyball - Open at Pottawattomie,2025-04-15 13:30:00,42.0151063,-87.6780744,60626.0
136,Basketball - Skills and Drills (ASMG) at Gately,2025-04-15 13:00:00,41.70851588,-87.60317802,60628.0
137,Aquatic Exercise (Special Rec) at Welles,2025-04-15 11:00:00,41.9628085,-87.6863871,60625.0
138,Table Games at McKinley,2025-04-15 16:15:00,41.8237382,-87.6824446,60609.0
139,Basketball - Open at Dvorak,2025-04-15 15:00:00,41.855021,-87.6539074,60608.0
140,Circuit Training - Open at Brainerd,2025-04-15 11:30:00,41.7270772,-87.654913,60620.0
141,Learn to Swim at Carver,2025-04-15 10:00:00,41.6559204,-87.5988761,60827.0
142,Mens Indoor Tennis League 4.5 Singles at McFetridge,2025-04-15 22:00:00,41.9517076,-87.6970874,60618.0
143,Ice Hockey - Learn to Skate Level 1 at McFetridge,2025-04-15 09:50:00,41.9517076,-87.6970874,60618.0
144,Womens Cardio Conditioning at Hale,2025-04-15 09:30:00,41.7798885,-87.7784666,60638.0
