ZONE,Full_Street,WARD - LOW,WARD - HIGH
988,5401-5499 W EDMUNDS ST,45.0,45.0
2405,1128-1198 W 31ST PL,11.0,11.0
95,3101-3147 N SAWYER AVE,35.0,35.0
1480,5200-5258 S SACRAMENTO AVE,14.0,14.0
146,4816-4860 N KEYSTONE AVE,39.0,39.0
383,1501-1599 W GRACE ST,44.0,44.0
2427,7122-7122 W STRONG ST,41.0,41.0
1780,8700-8758 S BENNETT AVE,8.0,8.0
2427,7121-7121 W ARGYLE ST,41.0,41.0
2427,7133-7133 W ARGYLE ST,41.0,41.0
1542,701-799 W OHIO ST,27.0,27.0
143,600-658 W ARLINGTON PL,43.0,43.0
74,1401-1447 N LAKE SHORE DR,43.0,43.0
22,7005-7051 W HIGGINS AVE,41.0,41.0
871,3801-3899 W 69TH ST,13.0,13.0
346,3060-3158 N WASHTENAW AVE,33.0,33.0
1195,3701-3799 W 103RD ST,19.0,19.0
143,2000-2070 N LARRABEE ST,43.0,43.0
974,6600-6698 N PONCHARTRAIN BLVD,41.0,41.0
1322,7029-7099 W SUMMERDALE AVE,41.0,41.0
2426,1500-1538 N KOLIN AVE,26.0,26.0
2426,1501-1539 N KOLIN AVE,26.0,26.0
1189,600-698 N KINGSBURY ST,42.0,42.0
2402,4600-4698 S EMERALD AVE,11.0,11.0
1325,4965-4965 S CHRISTIANA AVE,14.0,14.0
2439,1102-1142 N RICHMOND ST,26.0,26.0
143,401-499 W ST JAMES PL,43.0,43.0
3,6001-6057 W GUNNISON ST,38.0,38.0
383,801-899 W BRADLEY PL,46.0,46.0
5,701-729 S ADA ST,28.0,28.0
16,3434-3458 E 114TH ST,10.0,10.0
383,3101-3199 N SEMINARY AVE,44.0,44.0
2438,11500-11500 W 115TH ST,,
2439,1101-1143 N RICHMOND ST,26.0,26.0
102,2231-2299 N CAMPBELL AVE,1.0,1.0
1263,10300-10398 S LAWNDALE AVE,19.0,19.0
12,1735-1741 W 93RD ST,19.0,19.0
1441,6100-6198 S WOODLAWN AVE,20.0,20.0
2440,800-898 N ST LOUIS AVE,27.0,27.0
383,1201-1299 W CORNELIA AVE,44.0,44.0
168,1601-1699 W ONTARIO ST,1.0,1.0
1732,2601-2659 W 15TH PL,28.0,28.0
357,5335-5359 S HOYNE AVE,16.0,16.0
168,1501-1599 W FRY ST,1.0,1.0
1524,306-346 W 24TH PL,25.0,25.0
92,4800-4898 N BELL AVE,47.0,47.0
2432,9515-9557 S BELL AVE,19.0,19.0
383,2800-2898 N BURLING ST,44.0,44.0
2440,801-899 N ST LOUIS AVE,27.0,27.0
2395,3905-3943 N WHIPPLE ST,33.0,33.0
383,3101-3199 N SHEFFIELD AVE,44.0,44.0
1351,6300-6398 N MONTICELLO AVE,50.0,50.0
1489,3504-3524 N KEELER AVE,30.0,30.0
1130,4401-4499 N SHERIDAN RD,46.0,46.0
2438,2315-2321 W 115TH ST,19.0,19.0
251,1619-1655 W 101ST ST,19.0,19.0
1189,340-398 W ONTARIO ST,42.0,42.0
1722,8100-8198 S DOBSON AVE,8.0,8.0
2438,2314-2322 W 115TH ST,19.0,19.0
168,1701-1823 W AUGUSTA BLVD,1.0,1.0
102,2329-2399 W ALTGELD ST,1.0,1.0
1220,6900-6998 S WABASH AVE,6.0,6.0
1414,2400-2442 E 74TH ST,7.0,7.0
143,2010-2058 N BISSELL ST,43.0,43.0
918,10200-10298 S FAIRFIELD AVE,19.0,19.0
1050,7701-7755 S EAST END AVE,8.0,8.0
383,3900-3940 N WAYNE AVE,47.0,47.0
255,6600-6634 W GEORGE ST,36.0,36.0
994,2701-2755 W CARMEN AVE,40.0,40.0
5,1300-1368 W LEXINGTON ST,28.0,28.0
796,2301-2399 W 18TH ST,25.0,25.0
19,901-999 S AUSTIN BLVD,29.0,29.0
43,5201-5259 N FRANCISCO AVE,40.0,40.0
1162,3001-3099 N LINDER AVE,31.0,31.0
383,1300-1344 W NELSON ST,32.0,32.0
2626,1100-1142 N SACRAMENTO AVE,26.0,26.0
2438,11438-11438 W 115TH ST,,
827,4201-4299 N BROADWAY ,46.0,46.0
383,3700-3798 N HALSTED ST,46.0,46.0
2441,148-184 N LEAMINGTON AVE,28.0,28.0
1429,11800-11898 S PEORIA ST,34.0,34.0
95,3100-3144 N ST LOUIS AVE,35.0,35.0
5,700-730 S ADA ST,28.0,28.0
2395,3900-3902 N WHIPPLE ST,33.0,33.0
12,9400-9440 S LEAVITT ST,19.0,19.0
342,1836-1858 N WESTERN AVE,1.0,1.0
383,1201-1299 W GRACE ST,44.0,44.0
782,11501-11599 S ADA ST,34.0,34.0
12,9515-9559 S CLAREMONT AVE,19.0,19.0
863,1100-1156 W OHIO ST,27.0,27.0
383,601-699 W STRATFORD PL,44.0,44.0
2370,5801-5899 W WRIGHTWOOD AVE,30.0,30.0
101,5101-5199 N LONG AVE,45.0,45.0
64,7104-7156 S LAFAYETTE AVE,6.0,6.0
143,1901-1963 N HOWE ST,43.0,43.0
77,942-950 W 79TH ST,17.0,17.0
1263,10301-10399 S LAWNDALE AVE,19.0,19.0
142,1800-1856 N MOHAWK ST,43.0,43.0
372,3001-3055 W 19TH ST,24.0,24.0
383,3201-3299 N BROADWAY ,44.0,44.0
1102,2901-2999 N LINDER AVE,31.0,31.0
210,1-99 S PEORIA ST,27.0,27.0
383,800-898 W CORNELIA AVE,44.0,44.0
827,901-999 W BELLE PLAINE AVE,46.0,46.0
32,1453-1467 E 55TH ST,5.0,5.0
5,1200-1298 W LEXINGTON ST,28.0,28.0
26,6906-6998 W MEDILL AVE,36.0,36.0
107,4700-4742 N ST LOUIS AVE,33.0,33.0
101,5314-5358 W WINNEMAC AVE,45.0,45.0
143,1701-1763 N LARRABEE ST,43.0,43.0
109,2414-2446 W 25TH ST,25.0,25.0
1466,302-334 N PARKSIDE AVE,29.0,29.0
1412,9301-9399 S EUCLID AVE,8.0,8.0
19,1000-1098 N LAVERGNE AVE,37.0,37.0
56,1300-1444 W PRATT BLVD,49.0,49.0
1268,1000-1116 W LAWRENCE AVE,46.0,46.0
1218,4901-4999 W WEST END AVE,28.0,28.0
1339,2900-2958 W 25TH ST,12.0,12.0
383,3101-3199 N CLARK ST,44.0,44.0
281,6000-6098 N DRAKE AVE,50.0,50.0
1185,8601-8699 S CONSTANCE AVE,8.0,8.0
201,201-299 W ILLINOIS ST,42.0,42.0
595,8700-8798 S HONORE ST,21.0,21.0
154,1801-1849 N HERMITAGE AVE,32.0,32.0
960,3700-3760 N WESTERN AVE,47.0,47.0
383,1700-1758 W NELSON ST,32.0,32.0
359,6221-6263 W GIDDINGS ST,38.0,38.0
12,9401-9443 S HOYNE AVE,19.0,19.0
282,6101-6151 S HERMITAGE AVE,15.0,15.0
143,901-961 W DICKENS AVE,43.0,43.0
383,400-798 W BELMONT AVE,44.0,44.0
1276,6600-6758 N SEELEY AVE,50.0,50.0
143,1800-1818 N HALSTED ST,43.0,43.0
142,301-357 W WISCONSIN ST,43.0,43.0
1013,2100-2198 W 83RD ST,18.0,18.0
558,3601-3699 N HAMLIN AVE,30.0,30.0
1309,1401-1499 W 123RD ST,0.0,0.0
144,4612-4632 W LAWRENCE AVE,39.0,39.0
143,2500-2550 N BURLING ST,43.0,43.0
1507,9812-9858 S WINCHESTER AVE,19.0,19.0
149,200-248 N MASON AVE,29.0,29.0
143,900-958 W WRIGHTWOOD AVE,43.0,43.0
1130,4400-4498 N MAGNOLIA AVE,46.0,46.0
6,3801-3847 W MYRICK ST,18.0,18.0
1632,2046-2098 N ST LOUIS AVE,26.0,26.0
143,2101-2151 N LARRABEE ST,43.0,43.0
94,3401-3499 N KOSTNER AVE,30.0,30.0
77,7958-7958 S GREEN ST,17.0,17.0
92,4815-4857 N LEAVITT ST,47.0,47.0
1464,8000-8098 S GREEN ST,21.0,21.0
109,2300-2360 S WOLCOTT AVE,25.0,25.0
1684,440-470 N ABERDEEN ST,27.0,27.0
774,2400-2498 S FRANCISCO AVE,12.0,12.0
74,1401-1447 N STATE PKWY,43.0,43.0
102,2157-2181 N MAPLEWOOD AVE,1.0,1.0
146,4900-4958 N HAMLIN AVE,39.0,39.0
245,3201-3255 S WENTWORTH AVE,11.0,11.0
62,2101-2135 W EASTWOOD AVE,47.0,47.0
102,2400-2498 W LYNDALE ST,1.0,1.0
383,2800-2898 N SHEFFIELD AVE,44.0,44.0
154,1700-1798 W DIVISION ST,1.0,1.0
63,6401-6437 N OXFORD AVE,41.0,41.0
1189,658-798 N HUDSON AVE,42.0,42.0
12,9509-9511 S HOYNE AVE,19.0,19.0
1447,800-898 W ERIE ST,27.0,27.0
264,5214-5228 W GIDDINGS ST,45.0,45.0
1343,3121-3133 W 56TH ST,14.0,14.0
1615,1533-1571 E 90TH ST,8.0,8.0
1726,4569-4599 W 58TH ST,13.0,13.0
1785,7901-7999 S EAST END AVE,8.0,8.0
120,5009-5065 W HUTCHINSON ST,45.0,45.0
67,8700-8710 W EVELYN LN,41.0,41.0
827,900-998 W CUYLER AVE,46.0,46.0
988,4901-4949 N LESTER AVE,45.0,45.0
56,1001-1057 W LOYOLA AVE,49.0,49.0
62,1618-1750 W AINSLIE ST,47.0,47.0
12,9300-9372 S VANDERPOEL AVE,19.0,19.0
254,2814-2854 N PARKSIDE AVE,30.0,30.0
56,1101-1133 W ALBION AVE,49.0,49.0
383,601-799 W MELROSE ST,44.0,44.0
383,2800-3198 N PINE GROVE AVE,44.0,44.0
245,3200-3256 S WENTWORTH AVE,11.0,11.0
1191,8900-8998 S LAFLIN ST,21.0,21.0
383,3200-3298 N SEMINARY AVE,44.0,44.0
281,3000-3046 W HOLLYWOOD AVE,40.0,40.0
1581,10901-10999 S MORGAN ST,34.0,34.0
143,301-399 W FULLERTON PKWY,43.0,43.0
204,900-1200 N ASHLAND AVE,1.0,1.0
12,1700-1718 W 94TH ST,19.0,19.0
252,5000-5098 S ARTESIAN AVE,14.0,14.0
226,7901-7959 S ALBANY AVE,18.0,18.0
1189,700-798 N SEDGWICK ST,42.0,42.0
621,4801-4899 S MARSHFIELD AVE,20.0,20.0
29,5415-5443 S MENARD AVE,23.0,23.0
1530,5000-5044 S ROCKWELL ST,14.0,14.0
156,6515-6557 N MINNETONKA AVE,41.0,41.0
383,3401-3499 N SEMINARY AVE,44.0,44.0
64,8200-8298 S WENTWORTH AVE,21.0,21.0
1161,4000-4098 W BARRY AVE,31.0,31.0
960,2405-2459 W GRACE ST,47.0,47.0
252,4301-4341 S SAWYER AVE,14.0,14.0
1192,5514-5558 S SPAULDING AVE,14.0,14.0
1092,5501-5599 S MAYFIELD AVE,23.0,23.0
154,1900-1948 W WABANSIA AVE,32.0,32.0
12,9515-9557 S HOYNE AVE,19.0,19.0
26,1615-1653 N MERRIMAC AVE,29.0,29.0
17,5200-5298 N DELPHIA AVE,41.0,41.0
962,5500-5514 S MENARD AVE,23.0,23.0
1189,201-399 W HURON ST,42.0,42.0
488,11701-11759 S LAFAYETTE AVE,34.0,34.0
109,2101-2157 W 23RD ST,25.0,25.0
1396,5300-5398 S LONG AVE,23.0,23.0
144,4816-4858 N KENNETH AVE,39.0,39.0
383,3300-3398 N CLARK ST,44.0,44.0
652,5000-5010 N BERNARD ST,39.0,39.0
1458,1001-1099 N TRUMBULL AVE,27.0,27.0
448,6304-6342 N TALMAN AVE,50.0,50.0
101,5300-5338 W ARGYLE ST,45.0,45.0
1376,3100-3198 N RUTHERFORD AVE,36.0,36.0
450,8500-8570 W ST JOSEPH AVE,41.0,41.0
537,1420-1458 N ORLEANS ST,27.0,27.0
700,601-699 N DRAKE AVE,27.0,27.0
383,800-898 W ADDISON ST,44.0,44.0
241,5900-5970 N OCONTO AVE,41.0,41.0
1288,6601-6655 N OSHKOSH AVE,41.0,41.0
710,5500-5534 W CRYSTAL ST,37.0,37.0
132,4301-4343 N FRANCISCO AVE,33.0,33.0
1200,2701-2799 W 23RD ST,12.0,12.0
1411,8700-8798 S PAXTON AVE,8.0,8.0
114,4200-4234 N HARDING AVE,39.0,39.0
1341,2437-2449 S BOULEVARD WAY,12.0,12.0
143,1939-1971 N HALSTED ST,43.0,43.0
102,2700-2798 W JULIA CT,1.0,1.0
1364,5400-5498 W GEORGE ST,31.0,31.0
168,814-838 N HERMITAGE AVE,1.0,1.0
925,3700-3798 W PALMER ST,35.0,35.0
11,5515-5555 S NORDICA AVE,23.0,23.0
101,5101-5187 W BERWYN AVE,45.0,45.0
516,5600-5698 S TROY ST,14.0,14.0
34,4714-4758 S SPRINGFIELD AVE,14.0,14.0
1060,3501-3599 N CLAREMONT AVE,47.0,47.0
161,10500-10564 S WALDEN PKWY,19.0,19.0
719,1601-1699 W HIGHLAND AVE,40.0,40.0
441,1614-1658 N LOCKWOOD AVE,37.0,37.0
348,1351-1399 N HUDSON AVE,27.0,27.0
13,10101-10159 S SPRINGFIELD AVE,19.0,19.0
135,7800-7846 S BENNETT AVE,8.0,8.0
174,2700-2744 N PARKSIDE AVE,30.0,30.0
143,2214-2258 N HALSTED ST,43.0,43.0
383,3401-3499 N HALSTED ST,44.0,44.0
383,1301-1399 W GRACE ST,44.0,44.0
143,2000-2058 N HALSTED ST,43.0,43.0
143,2302-2328 N HALSTED ST,43.0,43.0
1470,3501-3599 W FLOURNOY ST,24.0,24.0
26,6253-6303 W BLOOMINGDALE AVE,29.0,29.0
22,5341-5367 N NEVA AVE,41.0,41.0
65,1600-1652 W ROSEHILL DR,40.0,40.0
1717,2501-2549 N LOTUS AVE,30.0,30.0
1414,2701-2733 E 74TH ST,7.0,7.0
452,4434-4458 W 59TH ST,13.0,13.0
143,301-357 W DICKENS AVE,43.0,43.0
19,1001-1057 S MAYFIELD AVE,29.0,29.0
383,3900-3954 N GREENVIEW AVE,47.0,47.0
20,5810-5816 N NINA AVE,41.0,41.0
977,851-925 W 86TH ST,21.0,21.0
204,1601-1609 W DIVISION ST,1.0,1.0
423,9102-9156 S PAULINA ST,21.0,21.0
41,7200-7228 W SUMMERDALE AVE,41.0,41.0
201,431-529 N LA SALLE ST,42.0,42.0
143,812-862 W WRIGHTWOOD AVE,43.0,43.0
111,4401-4459 W HADDON AVE,37.0,37.0
20,5601-5675 N NEVA AVE,41.0,41.0
168,800-900 N ASHLAND AVE,1.0,1.0
120,4900-4942 W HUTCHINSON ST,45.0,45.0
5,900-916 S MILLER ST,25.0,25.0
1748,3400-3426 W 37TH PL,12.0,12.0
266,3900-3942 W 85TH PL,18.0,18.0
252,2500-2522 W 50TH ST,14.0,14.0
251,1701-1757 W 100TH PL,19.0,19.0
90,3701-3761 N HARDING AVE,30.0,30.0
112,1056-1056 W 88TH ST,21.0,21.0
136,3201-3259 S KEELER AVE,22.0,22.0
12,1715-1719 W 94TH ST,19.0,19.0
19,5900-5968 W SUPERIOR ST,29.0,29.0
142,401-499 W ARMITAGE AVE,43.0,43.0
142,1801-1857 N SEDGWICK ST,43.0,43.0
383,3700-3798 N CLIFTON AVE,44.0,44.0
64,8101-8199 S WENTWORTH AVE,21.0,21.0
1082,6400-6498 S NATCHEZ AVE,23.0,23.0
1208,301-399 W 124TH ST,34.0,34.0
1659,7500-7598 S CREGIER AVE,8.0,8.0
143,2100-2158 N HALSTED ST,43.0,43.0
1653,5401-5499 S FRANCISCO AVE,14.0,14.0
26,6135-6143 W NORTH AVE,0.0,0.0
960,2501-2537 W PATTERSON AVE,47.0,47.0
865,2800-2860 W 25TH PL,12.0,12.0
214,7801-7859 S ABERDEEN ST,17.0,17.0
12,1734-1740 W 93RD ST,19.0,19.0
383,3200-3298 N LAKEWOOD AVE,44.0,44.0
5,1101-1117 S RACINE AVE,25.0,25.0
175,6301-6343 W BARRY AVE,36.0,36.0
143,2000-2060 N CLIFTON AVE,43.0,43.0
120,4816-4932 N RUTHERFORD AVE,41.0,41.0
347,10407-10451 S MARYLAND AVE,9.0,9.0
1163,5200-5298 W WRIGHTWOOD AVE,31.0,31.0
1150,7701-7799 S TROY ST,18.0,18.0
1032,4101-4129 W ROSCOE ST,30.0,30.0
1189,340-498 W GRAND AVE,42.0,42.0
252,5001-5041 S CAMPBELL AVE,14.0,14.0
490,900-956 W 95TH ST,21.0,21.0
56,6617-6699 N LAKEWOOD AVE,49.0,49.0
791,2224-2334 E 94TH ST,7.0,7.0
641,7511-7557 S WABASH AVE,6.0,6.0
1370,900-998 W HURON ST,27.0,27.0
884,929-999 W FRY ST,27.0,27.0
1608,4700-4798 S DR MARTIN LUTHER KING JR DR,3.0,3.0
38,4901-4959 S KOMENSKY AVE,14.0,14.0
1453,2600-2668 W PERSHING RD,12.0,12.0
51,1501-1599 N LAWLER AVE,37.0,37.0
76,5614-5628 N LUNA AVE,45.0,45.0
383,900-998 W NEWPORT AVE,44.0,44.0
63,6500-6558 N OLYMPIA AVE,41.0,41.0
101,5501-5599 N LOTUS AVE,45.0,45.0
156,6405-6415 N CALDWELL AVE,41.0,41.0
895,440-462 N RACINE AVE,27.0,27.0
143,734-752 W WILLOW ST,43.0,43.0
396,4500-4566 W MONTANA ST,31.0,31.0
383,501-599 W BARRY AVE,44.0,44.0
143,1112-1158 W ALTGELD ST,43.0,43.0
143,2011-2059 N DAYTON ST,43.0,43.0
154,1900-1998 W POTOMAC AVE,1.0,1.0
948,5201-5299 W FLETCHER ST,30.0,30.0
1094,4300-4398 N CLAREMONT AVE,47.0,47.0
383,2800-2898 N HALSTED ST,44.0,44.0
49,6053-6059 N NAVARRE AVE,41.0,41.0
143,400-498 W DEMING PL,43.0,43.0
665,1-99 N ADA ST,27.0,27.0
109,2124-2158 W 22ND PL,25.0,25.0
345,5600-5698 S KOLMAR AVE,13.0,13.0
95,2915-2965 N GRESHAM AVE,35.0,35.0
67,8400-8454 W CATALPA AVE,41.0,41.0
143,2008-2052 N FREMONT ST,43.0,43.0
101,5033-5055 N LONG AVE,45.0,45.0
143,912-958 W WILLOW ST,43.0,43.0
195,8400-8498 S MARYLAND AVE,8.0,8.0
143,2501-2545 N BURLING ST,43.0,43.0
355,3311-3325 S RACINE AVE,11.0,11.0
5,1106-1134 W VERNON PARK PL,25.0,25.0
383,2801-2899 N CAMBRIDGE AVE,44.0,44.0
630,11200-11298 S EGGLESTON AVE,34.0,34.0
1548,7914-7954 S MOZART ST,18.0,18.0
1010,5514-5558 S SAWYER AVE,14.0,14.0
383,3200-3298 N GREENVIEW AVE,44.0,44.0
143,608-658 W WILLOW ST,43.0,43.0
568,2400-2498 S CALIFORNIA AVE,12.0,12.0
690,2600-2698 W LUTHER ST,12.0,12.0
1462,3400-3446 W SCHUBERT AVE,35.0,35.0
100,2700-2734 N MILWAUKEE AVE,35.0,35.0
1800,4800-4898 S HARDING AVE,14.0,14.0
448,6201-6259 N TALMAN AVE,50.0,50.0
130,2300-2342 N KILDARE AVE,31.0,31.0
522,8717-8749 S HALSTED ST,21.0,21.0
43,2700-2798 W FARRAGUT AVE,40.0,40.0
1,5616-5650 N CENTRAL PARK AVE,39.0,39.0
708,3001-3055 S HARDING AVE,22.0,22.0
3,5100-5152 N AUSTIN AVE,45.0,45.0
1498,5200-5298 W GEORGE ST,31.0,31.0
770,7100-7198 W FARRAGUT AVE,41.0,41.0
28,11001-11029 S HOYNE AVE,19.0,19.0
827,4300-4398 N HAZEL ST,46.0,46.0
143,1726-1732 N HALSTED ST,43.0,43.0
5,1107-1163 W POLK ST,25.0,25.0
120,5001-5029 W PENSACOLA AVE,45.0,45.0
143,1701-1729 N FREMONT ST,43.0,43.0
142,411-479 W MENOMONEE ST,43.0,43.0
42,7300-7354 S TROY ST,18.0,18.0
92,2201-2267 W LELAND AVE,47.0,47.0
168,1901-1999 W HURON ST,1.0,1.0
1165,5701-5799 N OCTAVIA AVE,41.0,41.0
102,2501-2599 W BLOOMINGDALE AVE,1.0,1.0
1119,2801-2899 N NATCHEZ AVE,36.0,36.0
66,8714-8758 S MERRILL AVE,8.0,8.0
95,3101-3147 N KIMBALL AVE,35.0,35.0
109,2201-2269 W 23RD PL,25.0,25.0
774,2401-2499 S FRANCISCO AVE,12.0,12.0
223,1500-1542 W GLENLAKE AVE,48.0,48.0
56,1200-1214 W PRATT BLVD,49.0,49.0
491,9359-9399 S CLAREMONT AVE,19.0,19.0
1441,6200-6248 S KIMBARK AVE,20.0,20.0
355,1014-1058 W 34TH PL,11.0,11.0
143,600-658 W BELDEN AVE,43.0,43.0
383,1216-1258 W DIVERSEY PKWY,32.0,32.0
988,5501-5599 W EDMUNDS ST,45.0,45.0
70,5200-5298 S KEELER AVE,23.0,23.0
30,5401-5451 S NEVA AVE,23.0,23.0
56,1032-1060 W ALBION AVE,49.0,49.0
115,6601-6649 W 63RD ST,23.0,23.0
4,5501-5579 W 54TH ST,23.0,23.0
383,3601-3699 N FREMONT ST,44.0,44.0
143,859-859 W CHALMERS PL,43.0,43.0
55,4723-4763 W BELMONT AVE,31.0,31.0
749,2700-2798 W POTOMAC AVE,26.0,26.0
1019,9001-9099 S ELIZABETH ST,21.0,21.0
33,3600-3658 N ST LOUIS AVE,35.0,35.0
171,4601-4643 N KEDZIE AVE,33.0,33.0
154,1901-1999 W EVERGREEN AVE,1.0,1.0
1117,1101-1199 N PARKSIDE AVE,29.0,29.0
111,4301-4359 W KAMERLING AVE,37.0,37.0
154,1901-1999 N PAULINA ST,32.0,32.0
143,2001-2059 N RACINE AVE,43.0,43.0
142,201-237 W MENOMONEE ST,43.0,43.0
345,5656-5656 S KENNETH AVE,13.0,13.0
92,2501-2599 W LELAND AVE,47.0,47.0
953,1400-1498 N WALLER AVE,29.0,29.0
547,3001-3099 S SPRINGFIELD AVE,22.0,22.0
87,7511-7559 S EBERHART AVE,6.0,6.0
1727,431-493 E 65TH ST,20.0,20.0
645,9400-9450 S EBERHART AVE,9.0,9.0
1069,100-134 N KILDARE AVE,28.0,28.0
1624,3000-3058 W 38TH PL,12.0,12.0
1713,801-855 N TRUMBULL AVE,27.0,27.0
135,7800-7848 S CORNELL AVE,8.0,8.0
779,3300-3398 N KENNETH AVE,30.0,30.0
32,5501-5557 S HARPER AVE,5.0,5.0
90,3700-3762 N HARDING AVE,30.0,30.0
34,4601-4699 S SPRINGFIELD AVE,14.0,14.0
12,9500-9598 S HAMILTON AVE,19.0,19.0
383,2901-2999 N BURLING ST,44.0,44.0
1338,3900-3960 S ARTESIAN AVE,12.0,12.0
1149,101-149 E 78TH ST,6.0,6.0
143,451-541 W WRIGHTWOOD AVE,43.0,43.0
219,5129-5155 N TROY ST,33.0,33.0
119,1400-1498 N NORTH PARK AVE,27.0,27.0
101,5200-5258 W WINNEMAC AVE,45.0,45.0
168,901-999 N HERMITAGE AVE,1.0,1.0
19,5800-5858 W SUPERIOR ST,29.0,29.0
36,4700-4758 S PULASKI RD,14.0,14.0
178,4814-4856 N SAYRE AVE,41.0,41.0
167,4015-4055 N TROY ST,33.0,33.0
95,3001-3053 N CHRISTIANA AVE,35.0,35.0
4,5319-5339 S LARAMIE AVE,23.0,23.0
1680,7701-7799 S DOBSON AVE,8.0,8.0
56,6705-6749 N LAKEWOOD AVE,49.0,49.0
1631,202-256 W 33RD ST,11.0,11.0
102,1847-1899 N OAKLEY AVE,32.0,32.0
981,8804-8856 S BISHOP ST,21.0,21.0
49,5753-5771 N AVONDALE AVE,41.0,41.0
102,1500-1598 N OAKLEY BLVD,1.0,1.0
819,1100-1198 W 94TH ST,21.0,21.0
143,2005-2051 N MOHAWK ST,43.0,43.0
49,6040-6044 N NETTLETON AVE,41.0,41.0
116,4546-4550 N KEDVALE AVE,39.0,39.0
102,2301-2399 W DICKENS AVE,32.0,32.0
143,706-722 W BELDEN AVE,43.0,43.0
383,3901-3999 N BROADWAY ,46.0,46.0
1136,1706-1722 S HAMILTON AVE,25.0,25.0
1591,3536-3560 S FEDERAL ST,3.0,3.0
56,1125-1447 W MORSE AVE,49.0,49.0
18,4635-4699 W 60TH ST,13.0,13.0
30,5401-5447 S NEWCASTLE AVE,23.0,23.0
383,1301-1399 W NEWPORT AVE,44.0,44.0
143,910-920 W WISCONSIN ST,43.0,43.0
129,44-46 E 87TH ST,6.0,6.0
122,6805-6843 S LAFAYETTE AVE,6.0,6.0
135,1735-1753 E 79TH ST,8.0,8.0
107,3227-3259 W LAWRENCE AVE,33.0,33.0
396,4400-4456 W MONTANA ST,31.0,31.0
383,1200-1298 W ROSCOE ST,44.0,44.0
120,4814-4872 W WARNER AVE,45.0,45.0
8,6700-6724 N AVONDALE AVE,41.0,41.0
560,9000-9098 S BRANDON AVE,10.0,10.0
827,4001-4099 N CLARENDON AVE,46.0,46.0
1005,4500-4598 N MENARD AVE,38.0,38.0
143,452-540 W WRIGHTWOOD AVE,43.0,43.0
143,901-957 W WRIGHTWOOD AVE,43.0,43.0
1727,430-498 E 65TH ST,20.0,20.0
568,2701-2721 W 24TH ST,12.0,12.0
1754,3501-3545 S MOZART ST,12.0,12.0
62,2010-2034 W EASTWOOD AVE,47.0,47.0
168,1699-1999 W CHICAGO AVE,1.0,1.0
357,2115-2145 W 54TH ST,16.0,16.0
1716,1300-1346 S WASHTENAW AVE,28.0,28.0
1270,10401-10457 S AVENUE J ,10.0,10.0
383,1400-1498 W GRACE ST,44.0,44.0
143,1701-1741 N BISSELL ST,43.0,43.0
116,4533-4551 N KEDVALE AVE,39.0,39.0
383,900-998 W DAKIN ST,46.0,46.0
66,2101-2199 E 88TH ST,8.0,8.0
1774,5601-5699 S FRANCISCO AVE,16.0,16.0
383,3700-3798 N BROADWAY ,46.0,46.0
19,5935-5945 W FILLMORE ST,29.0,29.0
30,6900-6954 W ARCHER AVE,23.0,23.0
383,2800-2898 N ORCHARD ST,44.0,44.0
19,5903-5969 W ERIE ST,29.0,29.0
383,3501-3599 N RETA AVE,44.0,44.0
76,5900-5904 W ARDMORE AVE,45.0,45.0
43,5201-5299 N ROCKWELL ST,40.0,40.0
448,6200-6258 N ARTESIAN AVE,50.0,50.0
1189,1201-1299 N SEDGWICK ST,27.0,27.0
519,7506-7556 S LUELLA AVE,7.0,7.0
383,3801-3899 N SOUTHPORT AVE,44.0,44.0
143,2301-2329 N HALSTED ST,43.0,43.0
383,801-899 W BUCKINGHAM PL,44.0,44.0
161,1811-1835 W 103RD ST,19.0,19.0
142,1801-1853 N ORLEANS ST,43.0,43.0
156,6516-6588 N WAUKESHA AVE,41.0,41.0
112,9430-9460 S SANGAMON ST,21.0,21.0
1537,6601-6699 S VERNON AVE,20.0,20.0
22,7006-7050 W HIGGINS AVE,41.0,41.0
102,1500-1598 N ARTESIAN AVE,1.0,1.0
143,2216-2254 N GENEVA TER,43.0,43.0
143,745-757 W DICKENS AVE,43.0,43.0
101,5015-5055 N LOCKWOOD AVE,45.0,45.0
848,6200-6298 S KOLMAR AVE,13.0,13.0
1314,5414-5424 W WELLINGTON AVE,31.0,31.0
90,3949-3953 W WAVELAND AVE,30.0,30.0
1393,8900-8998 S BISHOP ST,21.0,21.0
1313,534-546 E 95TH ST,9.0,9.0
51,5014-5014 W NORTH AVE,37.0,37.0
12,9400-9444 S DAMEN AVE,19.0,19.0
102,2501-2549 W CHARLESTON ST,1.0,1.0
143,1901-1967 N DAYTON ST,43.0,43.0
386,831-899 N WABASH AVE,42.0,42.0
383,1701-1759 W NELSON ST,32.0,32.0
1089,823-879 N RICHMOND ST,26.0,26.0
383,400-568 W SURF ST,44.0,44.0
201,2-138 W ILLINOIS ST,42.0,42.0
568,2700-2756 W 24TH ST,12.0,12.0
64,105-125 W 80TH ST,17.0,17.0
255,2819-2855 N NATOMA AVE,36.0,36.0
25,108-148 W 95TH ST,21.0,21.0
383,400-498 W ALDINE AVE,44.0,44.0
19,800-898 N LAVERGNE AVE,37.0,37.0
804,8600-8648 S DREXEL AVE,8.0,8.0
1310,201-299 W 110TH PL,34.0,34.0
