ZONE,Full_Street,WARD - LOW,WARD - HIGH
2102,1950-2000 E 86TH ST,8.0,8.0
2097,1500-1598 N KILDARE AVE,26.0,26.0
476,7001-7099 S BELL AVE,17.0,17.0
2100,8200-8298 S PAULINA ST,21.0,21.0
102,2000-2098 N STAVE ST,1.0,1.0
1333,6001-6055 N RICHMOND ST,50.0,50.0
3,5101-5151 N AUSTIN AVE,45.0,45.0
383,601-699 W SURF ST,44.0,44.0
2034,2700-2758 N NORMANDY AVE,36.0,36.0
436,1201-1259 S SPRINGFIELD AVE,24.0,24.0
2040,4800-4898 W CONCORD PL,37.0,37.0
25,9514-9556 S LA SALLE ST,21.0,21.0
142,1902-1946 N SEDGWICK ST,43.0,43.0
374,5000-5058 W NELSON ST,31.0,31.0
142,201-263 W WILLOW ST,43.0,43.0
56,6300-6398 N LAKEWOOD AVE,48.0,48.0
1486,1611-1653 S MILLER ST,25.0,25.0
143,2421-2499 N RACINE AVE,43.0,43.0
114,4300-4344 N AVERS AVE,39.0,39.0
56,1201-1209 W PRATT BLVD,49.0,49.0
74,1-49 E SCHILLER ST,43.0,43.0
14,5901-5905 N OKETO AVE,41.0,41.0
1188,4101-4183 W NELSON ST,31.0,31.0
154,1900-1998 N HERMITAGE AVE,32.0,32.0
1179,4502-4526 W THOMAS ST,37.0,37.0
67,5515-5525 N DELPHIA AVE,41.0,41.0
123,4300-4398 W PARKER AVE,31.0,31.0
616,2500-2598 W 39TH PL,12.0,12.0
987,1601-1699 W 16TH ST,25.0,25.0
56,6300-6398 N LAKEWOOD AVE,48.0,48.0
345,5701-5759 S KOLMAR AVE,13.0,13.0
759,2500-2598 W CORTEZ ST,1.0,1.0
816,1701-1759 S WOOD ST,25.0,25.0
1988,7500-7598 S PAXTON AVE,8.0,8.0
1028,401-499 N GREEN ST,27.0,27.0
2102,1951-1999 E 86TH ST,8.0,8.0
109,2300-2344 W 23RD ST,25.0,25.0
12,9801-9859 S VANDERPOEL AVE,19.0,19.0
107,4701-4799 N LAWNDALE AVE,35.0,35.0
252,4929-4957 S ARTESIAN AVE,14.0,14.0
12,9800-9860 S VANDERPOEL AVE,19.0,19.0
95,3205-3247 W GEORGE ST,35.0,35.0
161,10701-10739 S HALE AVE,19.0,19.0
1795,3801-3899 W WABANSIA AVE,26.0,26.0
1370,643-699 N SANGAMON ST,,27.0
33,3600-3698 N CHRISTIANA AVE,35.0,35.0
1924,1806-1838 S MAY ST,25.0,25.0
95,2800-2898 N CHRISTIANA AVE,35.0,35.0
119,314-398 W EVERGREEN AVE,27.0,27.0
167,3105-3143 W IRVING PARK RD,33.0,33.0
5,701-725 N RACINE AVE,27.0,27.0
2392,1925-1943 S MAY ST,25.0,25.0
143,1800-1876 N FREMONT ST,43.0,43.0
989,3046-3054 E 93RD ST,10.0,10.0
960,2401-2499 W BERENICE AVE,47.0,47.0
95,2801-2899 N CHRISTIANA AVE,35.0,35.0
159,400-444 W 95TH PL,21.0,21.0
2366,4501-4559 S MOZART ST,15.0,15.0
143,501-569 W ARLINGTON PL,43.0,43.0
141,4200-4254 W MELROSE ST,30.0,30.0
382,5500-5598 S KARLOV AVE,13.0,13.0
476,7000-7098 S BELL AVE,17.0,17.0
1372,3201-3299 N DRAKE AVE,35.0,35.0
123,2410-2454 N KEELER AVE,31.0,31.0
383,801-899 W GEORGE ST,44.0,44.0
383,901-999 W WOLFRAM ST,44.0,44.0
383,3500-3598 N RETA AVE,44.0,44.0
1008,4815-4857 S RIDGEWAY AVE,14.0,14.0
3,6000-6058 W GUNNISON ST,45.0,45.0
62,2003-2035 W GIDDINGS ST,47.0,47.0
558,3600-3698 N HAMLIN AVE,30.0,30.0
1459,701-799 N MONTICELLO AVE,27.0,27.0
2394,8401-8451 S PHILLIPS AVE,7.0,7.0
48,4901-4953 W BYRON ST,45.0,45.0
383,700-798 W BARRY AVE,44.0,44.0
100,2401-2547 N KEDZIE BLVD,32.0,32.0
640,4501-4599 W WILCOX ST,28.0,28.0
1994,4400-4498 S WOLCOTT AVE,12.0,12.0
1994,4401-4499 S WOLCOTT AVE,15.0,15.0
1721,5601-5689 S KNOX AVE,,
1422,3201-3299 N AVERS AVE,30.0,30.0
56,6555-6589 N LAKEWOOD AVE,49.0,49.0
43,2701-2799 W FARRAGUT AVE,40.0,40.0
430,532-598 E 94TH ST,9.0,9.0
101,5339-5345 W ARGYLE ST,45.0,45.0
1084,101-141 S PEORIA ST,27.0,27.0
95,2906-2952 N DAWSON AVE,35.0,35.0
43,5200-5298 N ROCKWELL ST,40.0,40.0
29,5515-5557 S NASHVILLE AVE,23.0,23.0
383,701-799 W ALDINE AVE,44.0,44.0
19,5839-5859 W NORTH AVE,29.0,29.0
1256,400-420 E 65TH ST,20.0,20.0
383,1100-1198 W WELLINGTON AVE,44.0,44.0
114,3900-3998 N DRAKE AVE,35.0,35.0
255,6533-6599 W GEORGE ST,36.0,36.0
154,1312-1324 N MOORMAN ST,1.0,1.0
2014,1-99 S ALBANY AVE,28.0,28.0
2007,9300-9398 S LOWE AVE,21.0,21.0
28,10906-10944 S WESTERN AVE,19.0,19.0
5,929-931 S ABERDEEN ST,25.0,25.0
114,4100-4158 N BERNARD ST,35.0,35.0
95,2835-2861 N DRAKE AVE,35.0,35.0
90,3948-3952 W WAVELAND AVE,30.0,30.0
143,2701-2727 N HALSTED ST,43.0,43.0
1085,500-532 N PEORIA ST,27.0,27.0
1736,5001-5041 S KILDARE AVE,14.0,14.0
1012,2000-2058 W 17TH ST,25.0,25.0
66,8801-8859 S CLYDE AVE,8.0,8.0
252,5001-5099 S ARTESIAN AVE,14.0,14.0
143,2700-2750 N WILTON AVE,43.0,43.0
62,4701-4799 N HERMITAGE AVE,47.0,47.0
2004,9900-9956 S SEELEY AVE,19.0,19.0
2008,700-798 S CAMPBELL AVE,28.0,28.0
276,7900-7958 S MARYLAND AVE,8.0,8.0
1767,2301-2399 N KILBOURN AVE,31.0,31.0
2096,1501-1599 W ADAMS ST,28.0,28.0
142,1601-1655 N CLEVELAND AVE,43.0,43.0
114,4301-4345 N RIDGEWAY AVE,35.0,35.0
102,2719-2731 W PRINDIVILLE ST,1.0,1.0
2392,1924-1942 S MAY ST,25.0,25.0
154,1300-1398 N WOLCOTT AVE,1.0,1.0
1917,1800-1820 N SPAULDING AVE,1.0,1.0
12,9701-9775 S VANDERPOEL AVE,19.0,19.0
1611,3900-3954 W 82ND PL,18.0,18.0
1586,5601-5699 S MOZART ST,16.0,16.0
154,1633-1699 W CORTLAND ST,32.0,32.0
114,3201-3221 W IRVING PARK RD,33.0,33.0
383,600-798 W MELROSE ST,44.0,44.0
34,4714-4758 S HARDING AVE,14.0,14.0
383,3701-3799 N LAKEWOOD AVE,44.0,44.0
1298,9502-9512 S WINCHESTER AVE,19.0,19.0
1463,2800-2898 N NAGLE AVE,36.0,36.0
383,1400-1498 W SCHOOL ST,44.0,44.0
1631,3303-3359 S WELLS ST,11.0,11.0
109,1900-1956 W 22ND PL,25.0,25.0
1720,6002-6058 S KILPATRICK AVE,13.0,13.0
102,1801-1899 N HOYNE AVE,32.0,32.0
2008,701-799 S CAMPBELL AVE,28.0,28.0
114,3901-3999 N DRAKE AVE,35.0,35.0
590,3931-3959 W WRIGHTWOOD AVE,31.0,31.0
2098,9249-9259 S EUCLID AVE,8.0,8.0
163,6001-6099 N ARTESIAN AVE,40.0,40.0
92,2124-2134 W LAWRENCE AVE,47.0,47.0
448,6301-6399 N MAPLEWOOD AVE,50.0,50.0
141,4003-4007 W CORNELIA AVE,30.0,30.0
70,5201-5299 S KEELER AVE,23.0,23.0
1,3507-3557 W BRYN MAWR AVE,39.0,39.0
2013,6201-6345 W MELROSE ST,36.0,36.0
116,4534-4550 N KEDVALE AVE,39.0,39.0
233,6027-6073 N HERMITAGE AVE,40.0,40.0
1561,11001-11045 S ST LOUIS AVE,19.0,19.0
165,3600-3698 W 82ND PL,18.0,18.0
101,5338-5344 W ARGYLE ST,45.0,45.0
383,3601-3699 N BOSWORTH AVE,44.0,44.0
720,5305-5319 N WASHTENAW AVE,40.0,40.0
2014,2-98 S ALBANY AVE,28.0,28.0
383,1500-1598 W HENDERSON ST,44.0,44.0
383,1001-1099 W GRACE ST,44.0,44.0
214,1100-1106 W 79TH ST,17.0,17.0
22,6901-6965 W HIGGINS AVE,41.0,41.0
269,7915-7959 S MICHIGAN AVE,6.0,6.0
243,7501-7553 N BELL AVE,49.0,49.0
154,1901-1955 W ARMITAGE AVE,32.0,32.0
98,720-750 W 103RD ST,34.0,34.0
102,1800-1830 N HOYNE AVE,32.0,32.0
590,3930-3960 W WRIGHTWOOD AVE,31.0,31.0
2004,9901-9955 S SEELEY AVE,19.0,19.0
383,3401-3499 N SOUTHPORT AVE,44.0,44.0
1721,5401-5499 S KNOX AVE,,
655,4001-4099 W 54TH ST,23.0,23.0
2010,1800-1858 W CULLERTON ST,25.0,25.0
154,1901-1957 W CORTLAND ST,32.0,32.0
824,5900-5998 W HIRSCH ST,29.0,29.0
5,801-851 S RACINE AVE,25.0,25.0
154,1900-1956 W CORTLAND ST,32.0,32.0
348,1400-1498 N SEDGWICK ST,27.0,27.0
383,600-698 W STRATFORD PL,46.0,46.0
383,2800-3478 N LAKE SHORE DR,44.0,44.0
2012,22-22 N CARPENTER ST,25.0,25.0
102,2500-2558 W MEDILL AVE,1.0,1.0
2012,11-11 N CARPENTER ST,25.0,25.0
1090,1000-1098 N PARKSIDE AVE,29.0,29.0
1466,303-333 N PARKSIDE AVE,29.0,29.0
